puzzle,approach,variables,clauses,encoding_time_s
wedges-088.clues,4,93274,370270,0.48548221588134766
wedges-089.clues,2,39606,1495846,0.6872587203979492
wedges-089.clues,4,95582,379826,0.47498369216918945
wedges-090.clues,2,40410,1537496,0.8432168960571289
wedges-090.clues,4,97554,387326,0.4985785484313965
wedges-091.clues,2,41406,1596982,0.8047127723693848
wedges-091.clues,4,99914,397098,0.504676103591919
wedges-092.clues,2,42228,1640478,0.7945249080657959
wedges-092.clues,4,101930,404766,0.4918639659881592
wedges-093.clues,2,43246,1702574,0.9450373649597168
wedges-093.clues,4,104342,414754,0.5321171283721924
wedges-094.clues,2,44086,1747956,0.9602673053741455
wedges-094.clues,4,106402,422590,0.5510239601135254
wedges-095.clues,2,45126,1812718,0.8679084777832031
wedges-095.clues,4,108866,432794,0.522709846496582
wedges-096.clues,2,45984,1860026,0.9873926639556885
wedges-096.clues,4,110970,440798,0.5373427867889404
wedges-097.clues,2,47046,1927510,1.0403552055358887
wedges-097.clues,4,113486,451218,0.5565605163574219
wedges-098.clues,2,47922,1976784,1.0795762538909912
wedges-098.clues,4,115634,459390,0.5800282955169678
wedges-099.clues,2,49006,2047046,1.0519521236419678
wedges-099.clues,4,118202,470026,0.5877707004547119
